cod_assunto|nome_novo
1|Mercado de trabalho
3|População
4|Amazônia
6|Adolescentes
7|Condições sociais
9|Arquivologia
10|Congressos
12|Sistemas de Arquivos
13|Santo Amaro (BA)
14|História
15|Bahia
16|Corporativismo
17|Empresariado
18|Trabalhadores
19|Minas Gerais
21|Mulher artista
23|Violência doméstica
24|Florianópolis (SC)
25|Política econômica
26|Economia
27|Brasil
28|Cícero, Padre, 1844-1934
30|Condições econômicas
33|Desenvolvimento urbano
34|Trabalho feminino
35|Santa Catarina
36|Mulheres
38|Forças Armadas
39|Educação e Estado
40|Crédito rural
41|Desenvolvimento agrícola
43|Túmulos
44|Capoeira
45|Folclore
46|Pesca
47|Candomblé
48|Barbosa, Ruy, 1849-1923
49|Carneiro, Edgard Ribas, 1894-
50|Seringueiros
52|Relações de trabalho
53|Seringalistas
54|Borracha, Comércio de
55|Arqueologia
56|Egito
57|Arte
58|Hidrografia
60|Geografia física
61|Informação, Valor da
65|Historiografia
66|Política e governo
67|Democracia
69|Alves, Custódio Manuel, 1853-1904
70|Estado Novo, 1937-1945
73|Governo Getúlio Vargas, 1930-1945
74|Igrejas
75|Arquitetura
76|Descrições e vistas
77|Tiradentes, 1746-1792
78|Bibliotecários
79|Formação profissional
80|Biblioteconomia, Ensino de
82|Paraíba
84|Cristianismo
85|Teologia
86|Produção agrícola
87|Jequitinhonha, Vale do
89|Recursos naturais
92|Mato Grosso
93|Colonização
94|Inquisição
95|Dias, Branca, 1515-1558?
96|Período colonial, 1500-1822
97|Almeida, José Américo de
98|Caricaturas e desenhos humorísticos
99|Biblioteca Nacional (França)
100|Laboratório de restauração
101|Documentos
102|Restauração
103|França
104|Pernambuco
105|Terras Devolutas
106|Sesmarias
107|Parceria Agrícola
108|São Paulo (Estado)
109|Serra de Jaboticabal
110|Agricultura
111|Tecnocracia
112|Teologia católica
113|Catolicismo
114|Igreja e Estado
115|Florestas
116|Política florestal
117|Amato, Mario
118|Senai
120|Escravidão
121|Fontes
122|O Abolicionismo (Livro)
123|Arte Brasileira
125|Companhia Urbana de Estradas de Ferro Paraense
126|Intendência de Belém
130|Estudo e ensino
132|Galvão de França (Família)
133|Guaratinguetá (SP)
134|Planejamento regional
135|Planejamento administrativo
138|História, 1817-1824
141|Língua carajá
142|Gramática
143|Vocabulários
144|Glossários
145|Partidos políticos
146|Biblioteconomia
147|Periódicos
148|Negros
149|Jesuítas
150|Missões
151|América do Sul
154|Feminismo
155|Controle da natalidade
156|Rio Grande do Norte
159|Sufrágio
160|Presidencialismo
161|Parlamentarismo
162|Política ambiental
163|Ecologia
164|Guias
165|Trabalhadores rurais
166|Capitalismo
167|Alagoas
168|Efemérides
169|Educação
170|Legislação
171|Santa Casa da Misericórdia do Espírito Santo
175|Cultura
176|Ciência e tecnologia
177|Relações exteriores
178|Austria
179|Império, 1822-1889
181|Feriados móveis
182|Calendário Juliano
183|Planejamento Federal
184|Numismática
185|Ceará
186|Periódicos brasileiros
187|Século XIX
188|Hábitos de leitura
190|Cidadania
191|Bibliotecas e sociedade
192|Descobrimento do Brasil, 1500
193|Período pré-cabralino
194|Sergipe
195|Açúcar
199|Política educacional
200|Exame vestibular
201|Ensino superior
202|Ideologia
203|Ensino particular
204|Juizes
207|Séculos XVI-XVII
209|Pará. Constituição, 1891
213|Violência
214|Direito
215|Atos administrativos
216|Cinematografia
217|Cinema
218|Igreja de Santa Tereza (Salvador, BA)
219|Problemas raciais
220|Cartografia
221|Geografia
223|Imprensa
224|Botânica
225|Fitogeografia
226|Miscelania
227|Paraná. Constituição, 1935
228|Abreu, João Capistrano Honório de, 1853-1927
229|Biblioteca Nacional (El Salvador)
231|Crítica e interpretação
232|Biblioteca Nacional (Uruguai)
233|Biblioteca Nacional (Venezuela)
234|Biblioteca Nacional (Colombia)
235|Biblioteca Nacional (Guatemala)
236|Biblioteca Nacional (Chile)
237|Biblioteca Nacional (Portugal)
238|Cunjuração Mineira,1789
239|Biblioteca Nacional (Espanha)
241|Biblioteca Nacional (Panamá)
242|Biblioteca Nacional (Paraguai)
243|Biblioteca Nacional (Porto Rico)
244|Biblioteca Nacional (México)
245|Biblioteca Nacional (Perú)
247|Biblioteca Nacional (República Dominicana)
249|Biblioteca Nacional (Honduras)
250|Ouro Preto (MG)
251|Estudantes
252|São Paulo (SP)
253|História, 1890
255|Ramiz, Benjamin Franklin Galvão, Barão de, 1846-1938
256|Mato Grosso. Constituição, 1898
257|Biblioteca Nacional (Argentina)
260|Nabuco, Joaquim, 1849-1910
261|Andrada (Família)
263|Taunay, Afonso D'Escragnolle, 1876-1958
264|São Francisco, Rio
265|Equador. Constituição, 1946
266|Guatemala. Constituição, 1956
269|Argentina
271|Bibliografia
272|Livros, Seleção de
273|Intervenção, Direito Constitucional
276|História, 1924-1925
277|Eobanos, Heliodoro, -1568
278|Capitanias hereditárias,1534-1732
279|Governo Geral, 1549-1580
280|História, 1534-1759
281|Positivismo
282|Rio Grande do Sul
284|Poder Judiciário
285|Filosofia
286|Ordem dos Advogados do Brasil (OAB)
287|Instituto da Ordem dos Advogados Brasileiros
288|Litisconsorcio
289|Soares, José Carlos de Macedo, 1883-1968
290|Pedro Ii, Imperador do Brasil, 1825-1891
291|Boulanger, Luís Aleixo, 1793-1873
292|Taunay, Félix Emílio Taunay, Barão de, 1795-1881
293|Lima, José Correa de, 1814-1857
294|Souvage, Frederico
295|Prangey, Gros de
296|Ferrez, Zeferino, 1797-1851
297|Planitz, Carlos Roberto Planitz, Barão de, 1806-1847
298|Ciccarelli, Alexandre
299|Guerra dos Mascates, 1710-1714
300|Abdicação
301|Menezes, Francisco Barreto de, 1616-1688
302|História, 1624-1654
303|Domínio Holandês, 1624-1654
304|Guerra Cisplatina, 1825-1828
305|Braga, José Peixoto da Silva
306|Couto, Urbano do
307|Faculdade Livre de Direito do Ceará
309|Redação técnica
310|Trabalho científico
311|Pesquisa
312|Metodologia
313|Universidades
314|Administração
315|Maçonaria
316|Pará
317|História, 1910
319|História, 1551-1602
320|História naval
321|Campanha (MG)
322|Monte de Cedro, João José Carneiro da Silva, Barão de
324|História, 1811-1911
326|Rebouças, José Pereira, 1856-
327|Brito, Francisco Saturnino Rodrigues de, 1864-1929
328|Advogados
329|Administração municipal
330|Candidato político
331|Eleições
332|Plataforma política
334|Uruguai
335|História, 1810-1830
336|Piauí
339|Política e governo, 1889
340|Período republicano, 1889
341|Paraguai
342|Palmeiras
343|Exposições
345|Biblioteca Nacional (Madrid)
346|Automação
347|Identidade racial
348|Discriminação racial
350|Areia (PB)
351|Sindicatos
352|Trabalho e trabalhadores
353|Azevedo, Gregorio Traumaturgo de
354|Questão com o Acre, 1899-1903
355|Racismo
356|Estados Unidos
357|Relações raciais
358|Estatística
359|Studart, Guilherme Studart, Barão de, 1856-1938
360|Livros de referência
361|Liberalismo
362|Comunismo
363|Fascismo
365|Amaral, Inácio Manuel Azevedo do, 1883-1950
366|Livros
367|Publicações
370|Discriminação na educação
371|Discriminação no emprego
372|Comportamento sexual
373|América Latina
374|Saúde e higiene
375|Torres, Octavio, 1885-
376|Descrições e viagens
377|Biblioteca Nacional (Nicaragua)
378|Biblioteca Nacional (Costa Rica)
379|Saúde Pública
380|Canadá
384|Curriculos
385|Terminologia
386|Ecomuseus
387|Usina Hidrelétrica de Itaipú
388|Estudo de casos
389|Espírito Santo (Estado)
390|Instituto Brasileiro de Informação em Ciência e Tecnologia
391|Carlos I, Rei de Portugal, 1863-1908
392|Iconografia
393|Salários
394|Administração pública
397|Coelho Netto, Henrique Maximiano, 1864-1934
398|Desenvolvimento
399|Museu
401|Relações públicas
402|Bibliotecas
403|Central Geral dos Trabalhadores
404|Sidicalismo
405|Marzangania (Belo Horizonte, MG)
406|Atividades políticas
407|Sociologia
409|Baleia
410|História, 1500-1762
411|Planejamento familiar
412|Comunidades
413|Escravos
414|Famílias escravas
416|Jornais brasileiros
419|Antropologia
420|Museu de Antropologia
421|Instituto Joaquim Nabuco de Pesquisas Sociais
423|Governo Epitácio Pessoa, 1919-1922
424|Reforma agrária
425|Maranhão
428|Alfabetização
429|Analfabetismo
430|Classificação
431|Estágio
432|Joinville (SC)
433|Clima
434|Geografia histórica
435|Mapas
436|Desenvolvimento cultural
437|Desenvolvimento social
438|Reforma constitucional
439|História, 1554-1555
441|Sorocaba (SP)
442|Oliveira, José de Alcântara Machado de, 1875-1941
443|Indexação
444|Rua Barão do Rio Branco (Campo Grande, MS)
445|Movimento Abolicionista
446|Escola Militar de Porto Alegre
447|História, 1853-1911
448|Ciência da informação
449|Rio Grande do Sul (Província)
450|Comércio Exterior
451|Erva mate
452|Comércio
453|Política de saúde
454|Política social
455|Política habitacional
456|Portugal
457|Rio Bonito (RJ)
458|Vassouras (RJ)
460|História, 1870-1937
462|Livros raros
463|América
465|Devastação
466|Arquivos fotográficos
468|Gama, Luís Gonzaga Pinto da, 1830-1882
469|Conservadorismo
470|Alemães
472|Bibliotecas Públicas, Utilização de
473|Medellin (Colômbia)
474|Departamento de Cultura y Bibliotecas de Confenalco
475|Colômbia
476|Moraes, Alexandre José de Melo, 1816-1882
477|Literatura brasileira
478|Casamento inter-racial
482|Mulher Negra
483|Política e governo, 1833-1835
485|Limites
486|Santiago de Compostela (Espanha)
487|Séculos XII-XVI
489|Teoria
490|Escola dos Annales
491|História econômica
492|Gordilho (Família)
494|Votuporanga (SP)
495|Silva, Clodomir de Souza e, 1892-1932
497|Música folclórica
498|Orações
501|Bresolin (Familia)
502|Italianos
503|Recolhimento de Nossa Senhora dos Humildes (Santo Amaro, BA)
504|Ms-Dos (Sistema Operacional de Computadores)
505|Língua portuguesa
507|Língua crioula
508|Bibliotecas públicas
509|Paraíba do Sul, Vale do (RJ e SP)
513|Políticos e estadistas
514|Bangnuoli, Giovanni Vicenzo Sanfelice, Conde de -1640
515|Alencar, Alexandrino Faria de
516|Vasconcellos, Zacarias de Goes, 1815-1877
517|Colombo, Cristovão, 1451-1506
518|Cemitérios
520|Educandário da Misericórdia (Rio de Janeiro, RJ)
521|Educandário Romão de Mattos Duarte (Rio de Janeiro, RJ)
522|Hospital Nossa Senhora das Dores (Rio de Janeiro, RJ)
523|Hospital São Zacarias (Rio de Janeiro, RJ)
524|Fagundes, José de Oliveira, 1752-
525|Repouso Santa Maria (São Manoel, RJ)
526|Hospitais
528|Pedro I, Imperador do Brasil, 1798-1834
530|Dias, Antônio Gonçalves, 1823-1864
532|Dumont, Alberto Santos, 1873-1932
534|Tamandaré, Joaquim Marques Lisboa, Barão, Visconde, Conde e Marques de, 1807-1897
535|Nery, Anna Justina Ferreira, 1814-1880
536|Fonseca, Manoel Deodoro da, 1827-1892
538|Pereira, José Clemente, 1787-1854
539|Alves, Antônio Frederico de Castro, 1847-1871
540|Cruz, Oswaldo, 1872-1917
543|Gama, Luiz Philippe de Saldanha da, 1846-1895
544|Aleijadinho, 1730-1814
545|Caneca, Joaquim do Amor Divino Rabello e, Frei, 1779-1825
546|Mauá, Irineu Evangelista de Souza, Visconde De, 1813-1889
548|Rio Branco, José Maria da Silva Paranhos Júnior, Barão do, 1845-1912
549|Medeiros, Maria Quiteria de Jesus, 1792-1853
552|Peixoto, Floriano Vieira, 1839-1895
553|Lobato, Monteiro, 1882-1948
554|Zarur, Jorge, 1916-1957
555|Costa, Afrânio Antônio da, 1892-1976
556|Instituto Panamericano de Geografia e História
557|Medicina
558|Santos Filho, Lycurgo de Castro, 1910-1998
559|Melo, Virginius Figueiredo da Gama e, 1922-1975
560|Modernistas
561|Teatros
562|Revoluções
563|Século XVIII
566|Descobertas e explorações
569|Narrativa
571|Proust, Marcel, 1871-1922
572|Tempo
573|Europa
574|Anacronismo
575|Espaço
576|Matéria
577|Modernismo
578|Música
579|Mulher
580|Café
582|Navegação
583|Espanha
584|Caixa de Auxílios Mútuos dos Empregados da Santa Casa da Misericórdia
585|Estatutos
586|Ordem dos Cavaleiros do Hospital de São João de Jerusalém
588|Política
589|Dicionários
590|São Pedro da Aldeia (Rio de Janeiro, Estado)
591|História, 1864
592|Coletâneas
593|Brasil, Sudeste
